Location,Latitude,Longitude,Altitude
Babala,29.32,81.23,1626.0
Devistan,29.3,81.2,1939.0
Devikot,29.27,81.17,1626.0
Patalkot,29.25,81.13,1611.0
Duni,29.25,81.1,1587.0
Marku,29.23,81.13,1532.0
Jalpadevi,29.22,81.18,871.0
SIddheswar,29.25,81.2,1053.0
Dhudharukot,29.27,81.22,1147.0
Kuskot,29.28,81.27,1449.0
Thanti,29.28,81.33,1801.0
Sodasadevi,29.23,81.33,1701.0
Sutar,29.18,81.45,1665.0
Darna,29.18,81.48,1512.0
Ramarosan,29.22,81.38,2097.0
Warla,29.13,81.48,1730.0
Binayak,29.1,81.38,1330.0
Kalekanda,29.12,81.53,886.0
Bayala,29.03,81.38,1454.0
Muli,29.03,81.35,1376.0
Dhakari,29.0,81.27,1345.0
Basti,29.05,81.17,972.0
Payal,29.17,81.17,1458.0
Nada,29.93,81.32,881.0
Rahaph,29.82,81.52,1324.0
Bhairavsthan,29.92,81.43,1085.0
Dhamali,29.0,81.37,1202.0
Sakot,29.18,81.08,971.0
Mangalstan,29.08,81.22,1337.0
Hansapur,28.07,83.05,1630.0
Khan,28.03,83.13,1441.0
Bhagawati,28.02,83.2,1322.0
Argha,28.0,83.1,1511.0
Dhakawang,28.03,82.98,1016.0
Nuwakot,27.95,83.03,990.0
Sandikhanrka,27.95,83.13,1037.0
Kerunga,27.97,83.22,975.0
Khidim,27.9,83.27,1429.0
Narpani,27.93,83.15,1195.0
Dhanchaur,27.92,83.03,1318.0
Siddara,27.85,82.92,786.0
Sitapur,27.87,83.12,1196.0
Panrna,27.87,83.3,1397.0
Maidan,27.85,83.23,1217.0
Simalpani,27.8,83.17,2056.0
Shiralaya,27.77,83.07,371.0
Bhaluwang,27.83,82.73,302.0
Samkot,27.83,82.92,711.0
Juluke,27.88,82.83,463.0
Nishi,28.4,83.0,1838.0
Boharagaun,28.37,83.05,1586.0
Devistan_1,28.35,83.08,1564.0
Arnakot,28.33,83.12,1893.0
Adhikarichaur,28.42,83.1,2176.0
Pahira,28.43,83.17,1976.0
Bangadoran,28.4,83.18,1589.0
Khung,28.37,83.2,1706.0
Heel,28.27,83.12,1528.0
Durling,28.28,83.18,1173.0
Ramuwa,28.3,83.3,2347.0
Heele,28.28,83.38,1998.0
Jaljala,28.25,83.27,1992.0
Righa,28.2,83.32,1650.0
Mouma,28.22,83.37,1838.0
Haliyal,28.2,83.4,1211.0
Narethati,28.22,83.45,1568.0
Sukaura,28.13,83.38,1789.0
Chhisti,28.1,83.57,1463.0
Jaidi,28.12,83.6,1134.0
Damek,28.18,83.53,2049.0
Balewa,28.22,83.63,1266.0
Baglung,28.27,83.57,1238.0
Dhamja,28.3,83.48,2050.0
Argal,28.28,83.42,2022.0
Palakot,28.27,83.53,1792.0
Sigama,28.23,83.52,1302.0
Gokuleswor,29.63,80.5,775.0
Dilasaini,29.63,80.58,1406.0
Mathraj,29.63,80.67,1732.0
Nusadev,29.63,80.73,2257.0
Hat,29.6,80.68,1605.0
Bumraj,29.55,80.73,1844.0
Shikharpur,29.5,80.67,2260.0
Bijayapur,29.55,80.6,1865.0
Shreekot,29.57,80.52,1599.0
Nwali,29.6,80.47,1695.0
Dasharathchandra,29.55,80.4,1320.0
Surgasthan,29.47,80.43,2833.0
Patan,29.47,80.57,1517.0
Chaukham,29.5,80.73,2138.0
Shivaling,29.45,80.8,1337.0
Thalazanderl,29.4,80.82,1538.0
Sikosh,29.42,80.73,1467.0
Siddhapur,29.4,80.65,1936.0
Silanga,29.42,80.58,1514.0
Melauli,29.4,80.43,1298.0
Shibanath,29.42,80.37,1451.0
Udayaded,29.37,80.35,1474.0
Sharmali,29.35,80.3,869.0
Bhumeswar,29.48,80.52,1759.0
Kaphalasen,29.67,80.82,2895.0
Deulikot,29.58,80.8,1711.0
Pipalkot,29.62,80.85,2052.0
Khiratadi,29.57,80.87,1619.0
Deulekh,29.53,80.82,1867.0
Banjh,29.52,80.88,1486.0
Rayal,29.48,80.93,1734.0
Lekhgaun,29.58,81.0,2640.0
Sainparsela,29.53,80.98,2328.0
Bhamchaur,29.53,80.92,2259.0
Chaidhari,29.48,81.02,1643.0
Majhigaun,29.43,81.13,2153.0
Koiralakot,29.45,81.03,1425.0
Kadu,29.53,81.08,1899.0
Subeda,29.53,81.15,1718.0
Gadaraya,29.43,81.25,2208.0
Koidewal,29.5,81.25,2349.0
Rilu,29.57,81.3,2264.0
Talkot,29.62,81.32,2456.0
Chainpur,29.6,81.18,2433.0
Dhamena,29.68,81.27,3273.0
Surma,29.65,81.07,2856.0
Kanda,29.38,81.22,2073.0
Dogadi,29.42,81.27,1930.0
Bajura,29.35,81.3,1322.0
Chhatara,29.28,81.35,2096.0
Bramhatol,29.38,81.35,1334.0
Mankot,29.47,81.33,2367.0
Aatichaur,29.42,81.35,2004.0
Budhiganga,29.43,81.48,1907.0
Badimalika,29.38,81.47,2298.0
Pandusan,29.45,81.6,2299.0
Rugin,29.58,81.72,2725.0
Jukot,29.45,81.75,2697.0
Bichhaya,29.65,81.68,2269.0
Titihiriya,28.18,81.53,177.0
Raniyapur,28.15,81.57,164.0
Sonapur,28.15,81.53,168.0
Udarapur,28.12,81.52,264.0
Sitapur_1,28.1,81.53,163.0
Radhapur,28.07,81.52,163.0
Khajura,28.1,81.6,164.0
Nepalgunj,28.05,81.62,180.0
HIminiya,28.0,81.65,164.0
Manikapur,28.08,81.65,183.0
Basgeswari,28.13,81.6,164.0
Samserganj,28.15,81.65,177.0
Rajhena,28.2,81.67,178.0
Kohalpur,28.22,81.72,180.0
Naubasta,28.25,81.67,191.0
Jabdahawa,28.23,81.62,183.0
Mahadevpuri,28.15,81.8,215.0
Binauna,28.05,81.83,183.0
Bejapur,27.98,81.9,203.0
Holiya,27.97,81.73,164.0
Gangapur,27.88,81.9,163.0
Matahiya,27.92,81.8,180.0
Banakatti,28.03,81.7,163.0
Phatepur,28.02,81.77,182.0
Betahani,28.0,81.7,163.0
Puraina,28.12,81.65,174.0
Banakatawa,28.18,81.6,174.0
Amlekhganj,27.28,85.0,423.0
Ratanpuri,27.28,85.08,343.0
Nijgadh,27.23,85.15,218.0
Pipara Simara,27.15,85.97,144.0
Dumarwana,27.13,85.02,144.0
Bharatganj,27.18,85.18,183.0
Singaul,27.2,85.25,219.0
Kakadi,27.13,85.12,145.0
Jitpur,27.12,84.95,124.0
Manaharwa,27.08,85.03,124.0
Prasauna,27.08,85.12,124.0
Rampurwa,27.03,85.17,124.0
Kabahigaon,26.9,85.02,104.0
Nirahi,26.98,85.08,104.0
Tetariya,27.03,85.1,124.0
Kalaiya,27.02,84.98,124.0
Prastoka,27.07,84.95,120.0
Prasauni,27.02,84.92,104.0
Matiarwa,27.95,84.95,104.0
Itiyahi,27.98,84.88,104.0
Matisar,27.02,84.97,109.0
Bariyarpur,27.98,85.05,104.0
Laluwadi,27.87,85.05,104.0
Pheta,27.0,84.93,118.0
Gothi,27.42,81.5,267.0
Bela,27.33,81.28,192.0
Nagarkot,27.72,85.5,1614.0
Machhenarayan,27.7,85.47,1438.0
Pancha Mahalaxmi,27.72,85.45,1392.0
Changu Narayan,27.72,85.42,1311.0
Kharipati,27.68,85.45,1334.0
Bageswori,27.68,85.48,1654.0
Sudal,27.67,85.47,1438.0
Duwakot,27.68,85.4,1342.0
Bhatgaon,27.67,85.42,1312.0
Jhaukhel,27.68,85.43,1339.0
Thimi,27.67,85.37,1315.0
Balkot,27.65,85.37,1314.0
Sallaghari,27.67,85.4,1313.0
Bhaktapur,27.67,85.43,1312.0
Chittapol,27.65,85.43,1402.0
Suryabinayak,27.63,85.43,1595.0
Sipadol,27.65,85.42,1351.0
Gundu,27.63,85.4,1451.0
Dadhikot,27.65,85.38,1335.0
Palanse,27.63,85.45,1562.0
Dobhane,27.38,86.95,2359.0
Khatamma,27.4,87.03,1172.0
Kulunga,27.43,87.1,1023.0
Kudak Kaule,27.37,87.08,957.0
Timma,27.43,87.0,2103.0
Kimaluno,27.47,87.05,1986.0
Shadanada,27.33,87.12,1089.0
Sanpang,27.3,87.12,1285.0
Boya,27.27,87.08,1817.0
supteswor,27.22,87.0,1845.0
annapurna,27.18,86.93,1893.0
Bokhim,27.18,87.03,1082.0
Yangpang,27.23,87.17,1138.0
Charambi,27.18,87.2,668.0
Yaku,27.13,87.18,1049.0
Sanodumma,27.08,87.17,683.0
Bastim,27.1,87.1,1051.0
Bhojpur,27.17,87.03,1590.0
Kot,27.13,86.98,1197.0
lekharka,27.13,86.93,1936.0
Okhre,27.08,86.95,2006.0
Baikunthe,27.05,87.0,1702.0
Ranibas,27.02,88.43,1394.0
Homtang,27.0,87.17,1009.0
Sidrang,27.0,87.08,1256.0
Thidinigkha,26.98,87.0,1438.0
Pangcha,26.92,86.97,791.0
Dummana,26.93,87.07,514.0
Hasanpur,26.93,87.12,777.0
Dewantar,26.97,87.07,1494.0
Darechok,27.85,84.6,930.0
