Municipality,latitude,longitude,altitude
Bhojpur Municipality,27.181827363,87.067922786,1503.0
Shadananda Municipality,27.33764,87.10635,1404.0
Aamchowk Rural Municipality,26.97234,87.03712,1208.0
Arun Rural Municipality,27.18656,87.20954,945.0
Hatuwagadhi Rural Municipality,26.99571,87.14134,918.0
Pauwadungma Rural Municipality,27.12322,87.14726,1816.0
Ramprasad Rai Rural Municipality,27.0812,87.03347,1573.0
Salpasilichho Rural Municipality,27.38315,86.98153,1965.0
Temkemaiyung Rural Municipality,27.20829,86.96277,1770.0
Dhankuta Municipality,26.990928225,87.330991692,1212.0
Mahalaxmi Municipality,27.13367,87.33563,721.0
Pakhribas Municipality,27.05068,87.28551,1756.0
Chaubise Rural Municipality,26.92253,87.46656,688.0
Chhathar Jorpati Rural Municipality,27.02585,87.4054,1593.0
Sangurigadhi Rural Municipality,26.90018,87.29004,844.0
Shahidbhumi Rural Municipality,26.990928225,87.330991692,1212.0
Deumai Municipality,26.93196,87.84665,1500.0
Illam Municipality,26.90943,87.92824,1219.0
Mai Municipality,26.76981,87.86497,224.0
Suryodaya Municipality,26.89588,88.06804,1519.0
Chulachuli Rural Municipality,26.70375,87.76221,166.0
Fakphokthum Rural Municipality,26.96886,87.75438,1129.0
Maijogmai Rural Municipality,26.96086,88.00746,1663.0
Mangsebung Rural Municipality,26.82741,87.73528,679.0
Rong Rural Municipality,26.80445,88.0665,811.0
Sandakpur Rural Municipality,27.10454,88.00176,3585.0
Arjundhara Municipality,26.67809,87.96977,140.0
Bhadrapur Municipality,26.55644,88.08843,94.0
Birtamod Municipality,26.64481,87.99957,133.0
Damak Municipality,26.66337,87.69679,132.0
Gauradhaha Municipality,26.5478,87.6957,96.0
Kankai Municipality,26.63676,87.91362,114.0
Mechinagar Municipality,26.67284,88.12301,136.0
Shivasataxi Municipality,26.60888,87.81451,109.0
Barhadashi Rural Municipality,26.57234,87.94778,101.0
Buddhashanti Rural Municipality,26.74111,88.07108,272.0
Gauriganj Rural Municipality,26.44818,87.72172,78.0
Haldibari Rural Municipality,26.56099,88.01784,102.0
Jhapa Rural Municipality,26.584848206,87.912824356,99.0
Kachankawal Rural Municipality,26.41516,88.0072,71.0
Kamal Rural Municipality,26.60765,87.74785,113.0
Diktel Rupakot Majhuwagadhi Municipality,27.21597,86.79353,1635.0
Halesi Tuwachung Municipality,27.1675,86.60338,825.0
Ainselukhark Rural Municipality,27.35575,86.76429,1404.0
Barahapokhari Rural Municipality,26.94036,86.82308,1067.0
Diprung Chuichumma Rural Municipality,27.09882,86.79366,1491.0
Jantedhunga Rural Municipality,26.97132,86.91221,1131.0
Kepilasagadhi Rural Municipality,27.34912,86.88847,1885.0
Khotehang Rural Municipality,27.04409,86.85225,1457.0
Rawa Besi Rural Municipality,28.07403,83.79952,769.0
Sakela Rural Municipality,27.17836,86.87524,1886.0
Biratnagar Metropolitian City,26.46531,87.2829,79.0
Belbari Municipality,26.67158,87.43315,158.0
Letang Municipality,26.71559,87.50711,238.0
Patahrishanishchare Municipality,26.60929,87.56405,105.0
Rangeli Municipality,26.45718,87.4864,71.0
Ratuwamai Municipality,26.48445,87.61591,80.0
Sundarharaicha Municipality,26.6589,87.34543,128.0
Sunwarshi Municipality,26.4822,87.54115,77.0
Uralabari Municipality,26.63861,87.63007,117.0
Budhiganga Rural Municipality,26.56215,87.30402,88.0
Dhanpalthan Rural Municipality,26.46108,87.40889,72.0
Gramthan Rural Municipality,26.55538,87.35998,91.0
Jahada Rural Municipality,26.40881,87.33565,70.0
Kanepokhari Rural Municipality,26.6588,87.49385,155.0
Katahari Rural Municipality,26.46485,87.32016,73.0
Kerabari Rural Municipality,26.70925,87.37016,191.0
Miklajung Rural Municipality,26.7817,87.62295,487.0
Siddhicharan Municipality,27.33949,86.53114,1931.0
Champadevi Rural Municipality,27.30792,86.31107,1129.0
Chisankhugadhi Rural Municipality,27.31756,86.62007,1042.0
Khijidemba Rural Municipality,27.44937,86.35829,2536.0
Likhu Rural Municipality,27.37352,86.26493,1630.0
