,Location,Latitude,Longitude,Altitude
0,station_0,27.181827363,87.067922786,1503.0
1,station_1,27.33764,87.10635,1404.0
2,station_2,26.97234,87.03712,1208.0
3,station_3,27.18656,87.20954,945.0
4,station_4,26.99571,87.14134,918.0
5,station_5,27.12322,87.14726,1816.0
6,station_6,27.0812,87.03347,1573.0
7,station_7,27.38315,86.98153,1965.0
8,station_8,27.20829,86.96277,1770.0
9,station_9,26.990928225,87.330991692,1212.0
10,station_10,27.13367,87.33563,721.0
11,station_11,27.05068,87.28551,1756.0
12,station_12,26.92253,87.46656,688.0
13,station_13,27.02585,87.4054,1593.0
14,station_14,26.90018,87.29004,844.0
15,station_15,26.990928225,87.330991692,1212.0
16,station_16,26.93196,87.84665,1500.0
17,station_17,26.90943,87.92824,1219.0
18,station_18,26.76981,87.86497,224.0
19,station_19,26.89588,88.06804,1519.0
20,station_20,26.70375,87.76221,166.0
21,station_21,26.96886,87.75438,1129.0
22,station_22,26.96086,88.00746,1663.0
23,station_23,26.82741,87.73528,679.0
24,station_24,26.80445,88.0665,811.0
25,station_25,27.10454,88.00176,3585.0
26,station_26,26.67809,87.96977,140.0
27,station_27,26.55644,88.08843,94.0
28,station_28,26.64481,87.99957,133.0
29,station_29,26.66337,87.69679,132.0
30,station_30,26.5478,87.6957,96.0
31,station_31,26.63676,87.91362,114.0
32,station_32,26.67284,88.12301,136.0
33,station_33,26.60888,87.81451,109.0
34,station_34,26.57234,87.94778,101.0
35,station_35,26.74111,88.07108,272.0
36,station_36,26.44818,87.72172,78.0
37,station_37,26.56099,88.01784,102.0
38,station_38,26.584848206,87.912824356,99.0
39,station_39,26.41516,88.0072,71.0
40,station_40,26.60765,87.74785,113.0
41,station_41,27.21597,86.79353,1635.0
42,station_42,27.1675,86.60338,825.0
43,station_43,27.35575,86.76429,1404.0
44,station_44,26.94036,86.82308,1067.0
45,station_45,27.09882,86.79366,1491.0
46,station_46,26.97132,86.91221,1131.0
47,station_47,27.34912,86.88847,1885.0
48,station_48,27.04409,86.85225,1457.0
49,station_49,28.07403,83.79952,769.0
50,station_50,27.17836,86.87524,1886.0
51,station_51,26.46531,87.2829,79.0
52,station_52,26.67158,87.43315,158.0
53,station_53,26.71559,87.50711,238.0
54,station_54,26.60929,87.56405,105.0
55,station_55,26.45718,87.4864,71.0
56,station_56,26.48445,87.61591,80.0
57,station_57,26.6589,87.34543,128.0
58,station_58,26.4822,87.54115,77.0
59,station_59,26.63861,87.63007,117.0
60,station_60,26.56215,87.30402,88.0
61,station_61,26.46108,87.40889,72.0
62,station_62,26.55538,87.35998,91.0
63,station_63,26.40881,87.33565,70.0
64,station_64,26.6588,87.49385,155.0
65,station_65,26.46485,87.32016,73.0
66,station_66,26.70925,87.37016,191.0
67,station_67,26.7817,87.62295,487.0
68,station_68,27.33949,86.53114,1931.0
69,station_69,27.30792,86.31107,1129.0
70,station_70,27.31756,86.62007,1042.0
71,station_71,27.44937,86.35829,2536.0
72,station_72,27.37352,86.26493,1630.0
73,station_73,27.21566,86.44515,1530.0
74,station_74,27.36634,86.41156,1353.0
75,station_75,27.27451,86.36924,1292.0
76,station_76,27.13076,87.76184,1414.0
77,station_77,27.16811,87.9289,2319.0
78,station_78,27.115000259,87.775789465,2055.0
79,station_79,27.22121,87.7943,957.0
80,station_80,27.07484,87.62347,1250.0
81,station_81,26.9379,87.65494,1741.0
82,station_82,26.983,87.57121,1368.0
83,station_83,27.32617,88.03053,2779.0
84,station_84,27.28938,87.31202,1228.0
85,station_85,27.2005,87.3591,1915.0
86,station_86,27.37465,87.20749,1043.0
87,station_87,27.25216,87.41284,2571.0
88,station_88,27.35302,87.30412,821.0
89,station_89,27.74682,87.4868,2917.0
90,station_90,27.46361,87.23046,1878.0
91,station_91,27.55933,87.25219,813.0
92,station_92,27.40615,87.44418,3621.0
93,station_93,27.51476,87.07129,1894.0
94,station_94,27.56847,86.58746,2703.0
95,station_95,27.84419,86.72059,5094.0
96,station_96,27.55043,86.43626,3204.0
97,station_97,27.53875,86.69517,2068.0
98,station_98,27.65559,86.90195,4944.0
99,station_99,27.39566,86.59779,1770.0
100,station_100,27.48533,86.7992,1190.0
101,station_101,27.53875,86.69517,2068.0
102,station_102,26.83235,87.16186,282.0
103,station_103,26.58312,87.2745,94.0
104,station_104,26.60346,87.14965,90.0
